program_code,program_name,department_id,program_type,is_coop,is_limited_enrolment,total_credits,min_enrolment_cgpa,description
SCMAJ0361,MAJOR PROGRAM IN ENVIRONMENTAL CHEMISTRY (SCIENCE),13,Major,0,0,,,"For an updated list of Program Supervisors, please visit the Chemistry website. The Major program in Environmental Chemistry will introduce students to the main areas within chemistry, with an emphasis on analytical, environmental, inorganic, and organic chemistry, and also ensure students gain foundational knowledge of the environmental sciences. Students will develop both theoretical knowledge and practical lab skills throughout their course work. This program is intended for students who are interested in developing basic environmental skills, but who also seek the flexibility of combining this program with other Major and Minor programs. Students interested in developing depth in Environmental Chemistry should consider the Specialist or Specialist (Co-operative) program in Environmental Chemistry. This program cannot be combined with the Major/Major Co-op programs in Biochemistry, the Major/Major Co-op programs in Chemistry, the Major/Major Co-op programs in Environmental Science, or the Minor in Environmental Science."
SCMAJ1076,MAJOR PROGRAM IN ENVIRONMENTAL SCIENCE (SCIENCE),13,Major,0,0,,,"For an updated list of Programs Supervisors, please visit the Environmental Sciences website. Program Requirements This program requires 8.5 credits as follows:"
SCMAJ2735,MAJOR PROGRAM IN ENVIRONMENTAL STUDIES (ARTS),13,Major,0,0,,,"For an updated list of Program Supervisors, please visit the Environmental Studies website. Companion majors include: Anthropology, Human Geography, Political Science, Public Policy, Sociology, Biology, Biodiversity, Ecology and Evolution, Chemistry, Biochemistry, and Environmental Science, Physics and Astrophysics, and Physical Sciences. Other majors are possible with the permission of the Supervisor of Study. Program Requirements"
SCMAJ17806,MAJOR PROGRAM IN EVOLUTIONARY ANTHROPOLOGY (SCIENCE),1,Major,0,0,8,,"The Major program in Evolutionary Anthropology provides a course structure for those students desiring to expand upon or supplement other areas of academic interest by taking advantage of Anthropology's unique global, chronological, and biological perspective on the human condition. Program Requirements The Program requires completion of 8.0 credits in Anthropology including:"
SCMAJ1909,MAJOR PROGRAM IN FILM STUDIES (ARTS),5,Major,0,1,,,"The Major in Film Studies provides students with a firm understanding of the historical, aesthetic, cultural, and political contexts of cinema and moving image media. It gives students the tools they need to: analyze films closely; think critically and write persuasively about film and media; understand cinematic forms and genres; understand the history of film and media in a global context; place film and media in the contexts of social and political movements, larger discursive networks, and other forms of art and cultural production, especially literature; understand the aesthetics and politics of diverse traditions and practices in film; and use the vocabulary and research methodologies of film studies. The program has unlimited enrolment, and students can select the Major after completing 4.0 credits. In A- and B-level courses, students receive a broad introduction to the critical study of film, the global history of cinema, and the larger cultural contexts of cinematic and literary production. In courses at the B- and C-level, students learn about various genres, traditions, and methodologies in film studies. Finally, D-level courses offer a more in-depth approach to specific topics, including a focus on directors, regions, particular practices, and specific theoretical approaches to film. This program is primarily delivered in-person, with some online delivery options for required and selected courses. Methods of assessment at the A-level and B-level include exams, short writing assignments, and collaborative projects. Assessments at the C- and D-level include research-based essays, oral presentations, collaborative projects, and, in some cases, creative/visual media assignments. Program Requirements"
SCMAJ2156,MAJOR PROGRAM IN FRENCH (ARTS),10,Major,0,0,,,"For curriculum inquiries, contact the department's Program Coordinator: dls-ua@utsc.utoronto.ca Program Requirements Students must complete 8.0 credits in French, including 2.0 credits at the C- or D-level, of which 0.5 credit must be at the D-level, as follows:"
SCMAJGAS,MAJOR PROGRAM IN GLOBAL ASIA STUDIES (ARTS),8,Major,0,0,,,Undergraduate Coordinator: (416) 287-7184 Email: hcs.advising.utsc@utoronto.ca Program Requirements Students must complete 7.0 credits.
SCMAJ2086G,MAJOR PROGRAM IN HEALTH POLICY (ARTS),7,Major,0,0,8,,"Grade 12 math is recommended Program Requirements This program requires the completion of 8.0 credits, as described below."
SCMAJ0652,MAJOR PROGRAM IN HISTORY (ARTS),8,Major,0,0,,,Undergraduate Coordinator: 416-287-7184 Email: hcs.advising.utsc@utoronto.ca Program Requirements Students must complete at least 7.0 credits in History.
SCMAJ0215,MAJOR PROGRAM IN HUMAN BIOLOGY (SCIENCE),3,Major,0,0,8.5,,"Academic Program Supervisor Email: human-biology@utsc.utoronto.ca The Major in Human Biology provides training and background in general biology with the opportunity to concentrate on courses in upper years that are related to human health. Upper year courses are available in physiology, cell and molecular biology, anatomy, microbiology, pathology, endocrinology, anthropology, psychology and biochemistry. This program is suitable for students with an interest in applied biology in health sciences or in social sciences related to human health. Enrolment Requirements"
SCMAJ1666H,MAJOR PROGRAM IN HUMAN GEOGRAPHY (ARTS),9,Major,0,0,,,"A Major Program for students interested in Human Geography as an academic discipline. This Program equips students with the knowledge and skills needed to understand contemporary social science thought in the context of the communities, societies, and economies formed by human populations, and the ways in which location, landscape, and spatial context shape (and are shaped by) social structures, functioning, and behaviour. Guidelines for 1st year course selection Students intending to complete the Major Program in Human Geography are required to take two of GGRA02H3, GGRA03H3 or GGRA35H3. Enrollment in GGRA35H3 is limited and restricted to first year students. Students are also encouraged to take GGRA30H3 in their first year as a methods course. Guidelines for Major Program completion: Courses in the Major Program in Human Geography are divided into three main subdisciplinary areas of focus: Urban Geography, Social/Cultural Geography and Environmental Geography. Major students are encouraged to focus on two areas of focus after second year."
SCMAJ2540,MAJOR PROGRAM IN INTERNATIONAL DEVELOPMENT STUDIES (ARTS),6,Major,0,0,,,Program Requirements This program requires 8.0 credits of which at least 2.0 credits must be at the C- or D-level. 1. Introduction to International Development Studies (0.5 credit)
SCMAJ0506,MAJOR PROGRAM IN LINGUISTICS (ARTS),10,Major,0,0,,,"For curriculum inquiries, contact the department's Program Coordinator: dls-ua@utsc.utoronto.ca Program Requirements Students must complete 8.0 credits, as follows:"
SCMAJ1165,MAJOR PROGRAM IN MATHEMATICS (SCIENCE),4,Major,0,0,,,"Supervisor of Studies: N. Breuss (416-287-7226) Email: n.breuss@utoronto.ca Program Objectives This program provides a solid foundation in basic areas of mathematics, especially those with applications in other disciplines. This program is intended to be combined with other programs, typically a major program in another discipline."
SCMAJJSS2,MAJOR PROGRAM IN MEDIA AND COMMUNICATION STUDIES - Journalism Studies Stream (ARTS),2,Major,0,0,,,"ACM Program Manager Email: acm-pm@utsc.utoronto.ca In the context of the complexity of the contemporary media environment and journalism’s central role in how information is disseminated, the Major in Media, Journalism and Digital Cultures has two streams: Media Studies and Journalism Studies. Through common core courses and courses unique to each stream, students consider the ubiquity of media in contemporary society and examine media’s cultural, political, economic, and social implications. Because media is centrally placed as a means through which democratic discussion occurs in the public sphere, the development of media literacy skills is crucial in maintaining an informed citizenry and paramount to students’ individual empowerment. As media scholar W. James Potter has written: “Becoming more media literate gives you a much clearer perspective to see the border between your real world and the world manufactured by the media. When you are media literate, you have clear maps to help you navigate better in the media world so that you can get to those experiences and information you want without becoming distracted by those things that harm you.” (Media Literacy, 2012)"
SCMAJMSS2,MAJOR PROGRAM IN MEDIA AND COMMUNICATION STUDIES - Media Studies Stream (ARTS),2,Major,0,0,,,"Undergraduate Advisor: Email: acm-pm@utsc.utoronto.ca In the context of the complexity of the contemporary media environment and journalism’s central role in how information is disseminated, the Major in Media and Communication Studies has two streams: Media Studies and Journalism Studies. Through common core courses and courses unique to each stream, students consider the ubiquity of media in contemporary society and examine media’s cultural, political, economic, and social implications in the contexts of class, race, gender, sexuality, and other forms of diversity with a focus on national and transnational intersectional perspectives. The program also highlights three critical cluster areas that inform the critical study of media: (i) media and the arts; (ii) media and society; (iii) media and institutions. Because media is centrally placed as a means through which democratic discussion occurs in the public sphere, the development of media literacy skills is crucial in maintaining an informed citizenry and paramount to students’ individual empowerment. Students can navigate through the program flexibly across the three cluster areas, while also developing the capacity to recognize how these clusters relate to one another and the contexts in which they intersect to shape identities and communities and to influence power relations. The Media Studies Stream offers students theoretical and analytical tools, alongside digital methods, to examine what it means to live in a highly-mediated, media-focused visual and auditory culture. Students study how media works in today’s world at local, regional and global scales; the history of media and technology and its development and use across different cultures; how media industries manufacture, manage, and circulate information; and how media form and content shape knowledge and meaning from historical, philosophical, and artistic perspectives, among many others. In studying media, students hone their media literacy skills and learn to critically evaluate the content of media and analyze its underlying ideologies and their implications within the distinct yet intersecting realms of art, society, and institutions."
SCMAJ1160M,MAJOR PROGRAM IN MENTAL HEALTH STUDIES (SCIENCE),15,Major,0,1,,,"Enrolment in the Program is limited. Admission will require: (a.) completion of any Grade 12 U/M high school math course or equivalent (or successful completion of the UTSC Online Mathematics Preparedness Course or equivalent), and (b.) completion of Grade 12 U/M high school biology or equivalent (or BIOA12H3 or equivalent), and"
SCMAJ0220,"MAJOR PROGRAM IN MOLECULAR BIOLOGY, IMMUNOLOGY AND DISEASE (SCIENCE)",3,Major,0,0,8.5,,"Academic Program Supervisor Email: molecular-biology-immunology@utsc.utoronto.ca This program provides training and background in general biology with the opportunity to concentrate on courses in upper years that are related to immunology, infection and disease. Upper year courses are available in microbiology, immunology, biochemistry and pathobiology of disease. This program is suitable for students with an interest in molecular biology and disease. Enrolment Requirements"
SCMAJ15912,MAJOR PROGRAM IN MUSIC (ARTS),2,Major,0,0,,,ACM Program Manager Email: acm-pm@utsc.utoronto.ca Program Requirements Students are required to complete 8.0 credits as follows:
SCMAJ1472,MAJOR PROGRAM IN NEUROSCIENCE (SCIENCE),15,Major,0,1,,,"The Major program in Neuroscience focuses on both Cellular/Molecular and Systems/Behavioural Neuroscience and requires less research-intensive coursework than the Specialist programs. The Major focuses more on how to be a skilled consumer of neuroscience research, providing a valuable foundation for a variety of career paths. Students may not combine a Neuroscience Major program with a Minor program from the Department of Biological Sciences. Students who wish to combine the Major in Neuroscience with another Major from the Department of Psychology or Department of Biological Sciences are advised to pay careful attention to the 12.0 distinct credits requirement to receive a certification of the completion of both programs. Consultation with the respective Program Supervisors in the selection of credits is recommended. For more information, see the Degree Requirements section in the UTSC Calendar. Enrolment in the Program is limited. The admission requirements may change each year depending on available spaces and the pool of eligible applicants, and students are cautioned that there is no guarantee of admission; as such, students are strongly advised to plan to enrol in backup programs."
SCMAJ0231,MAJOR PROGRAM IN PHILOSOPHY (ARTS),12,Major,0,0,,,Program Supervisor Email: philosophy-program-supervisor@utsc.utoronto.ca Program Requirements Students must complete at least 7.0 credits in Philosophy including PHLB50H3 Symbolic Logic 1 or PHLB55H3 Puzzles and Paradoxes and at least 3.0 credits must be at the C- or D-level of which 0.5 must be at the D-level. MATC09H3 can be used as a Philosophy course for these purposes.
SCMAJ1666P,MAJOR PROGRAM IN PHYSICAL AND HUMAN GEOGRAPHY (ARTS),9,Major,0,0,,,"This is an interdepartmental program leading to a B.A. degree in which students combine courses in human geography (GGR prefix) with courses in physical geography (EES prefix). Guidelines for firs year course selection EES courses presume a background in physical sciences and mathematics. It is recommended that first year students take EESA01H3, EESA06H3, GGRA02H3 and GGRA03H3 and at least 1.0 credit from among [BIOA01H3 and BIOA02H3], [CHMA10H3 and CHMA11H3], [PHYA10H3 or PHYA11H3], [MATA30H3 and MATA35H3/​A36H3/A37H3]."
SCMAJ2010,MAJOR PROGRAM IN PHYSICAL SCIENCES (SCIENCE),13,Major,0,0,,,"For an updated list of Program Supervisors, please visit the Physics and Astrophysics page The Major Program in Physical Sciences is intended for students desiring a general background in the physical sciences (with an emphasis in the area of astronomy, physics and physical chemistry) but who do not intend to pursue graduate studies. Parallel major Programs for students more interested in the mathematical sciences or in chemistry are offered in Mathematical Sciences, in Chemistry, and in Biochemistry. Program Requirements:"
SCMAJ0272B,MAJOR PROGRAM IN PHYSICS AND ASTROPHYSICS (SCIENCE),13,Major,0,0,,,"For a list of updated Program Supervisors, please visit the Physics and Astrophysics website. Students are advised that course substitutions will NOT be permitted without the advance approval of the Program Supervisor. Program Requirements"
SCMAJ1060,MAJOR PROGRAM IN PLANT BIOLOGY (SCIENCE),3,Major,0,0,,,"Supervisor Email: plant-biology@utsc.utoronto.ca The Major Program in Plant Biology provides a broad education in all areas of contemporary biology and affords students an opportunity to concentrate on Plant Biology courses in upper years. This program is suitable for students with an interest in biochemistry, biotechnology, cell biology, ecology, evolution, genetics, physiology, and/or development of plants. Enrolment Requirements"
SCMAJ2015,MAJOR PROGRAM IN POLITICAL SCIENCE (ARTS),14,Major,0,0,,,Program Requirements Students must complete at least 8.0 credits in Political Science as follows: 1. Introduction to Political Science (1.0 credit):
SCMAJ2086H,MAJOR PROGRAM IN POPULATION HEALTH (SCIENCE),7,Major,0,0,8.5,,"Grade 12 math and biology are recommended Enrolment in the program is limited. Admissions will require: A. completion of 4.0 credits including [BIOA01H3 or BIOA11H3], HLTA02H3, HLTA03H3, HLTA20H3, and STAB23H3, and"
SCMAJ1160,MAJOR PROGRAM IN PSYCHOLOGY (SCIENCE),15,Major,0,1,7,,"Enrolment in the Program is limited. Admission will require: (a.) completion of any Grade 12 U/M high school math course or equivalent (or successful completion of the UTSC Online Mathematics Preparedness Course or equivalent), and (b.) completion of Grade 12 U/M high school biology or equivalent (or BIOA12H3 or equivalent), and"
SCMAJ2030,MAJOR PROGRAM IN PUBLIC LAW (ARTS),14,Major,0,1,,,Enrolment in the Major is limited. Students may apply after completing 4.0 credits and must have achieved a minimum CGPA of 2.0. Students who have completed 10.0 or more credits are not eligible. Submission deadlines follow the Limited Enrolment Program Application Deadlines set by the Office of the Registrar each year. Failure to submit the program request on ACORN will result in that student’s application not being considered. Admission to the Major will be assessed through a consideration of academic performance. Students must complete 8.0 credits in Public Law as follows:
SCMAJPUBP,MAJOR PROGRAM IN PUBLIC POLICY (ARTS),14,Major,0,0,,,"The Major Program in Public Policy equips students with the analytical and methodological skills they will need to secure employment as policy analysts in government, business, and non-governmental sectors, or to continue to graduate training in public policy. The Program is cross-disciplinary. Public policy analysis is the exercise of applying the theoretical frameworks and positivist and interpretive methodologies of the social sciences and humanities to understand the development, implementation, and evaluation of public policy. It requires the ability to think clearly and critically, to design and execute research projects, to analyze both quantitative and qualitative data, and to write clearly. It also requires an understanding of the context, institutions, and processes of policy-making and implementation, as well as concepts and criteria for policy evaluation. Program Requirements"
SCMAJ1780,MAJOR PROGRAM IN SOCIO-CULTURAL ANTHROPOLOGY (ARTS),1,Major,0,0,8,,"The Major program in Socio-Cultural Anthropology provides a course structure for those students desiring to expand upon or supplement other areas of academic interest by taking advantage of Anthropology's unique global, chronological, and biological perspective on the human condition. Program Requirements The Program requires completion of 8.0 credits in Anthropology including:"
SCMAJ1013,MAJOR PROGRAM IN SOCIOLOGY (ARTS),16,Major,0,0,7,,"Enrolment Requirements Enrolment in the Major program is limited. Students will normally apply to enter the program after completing 4.0 or 5.0 credits including SOCA05H3. Decisions are made on program admissions only twice a year, in May and in August, and are based on student requests submitted to the Office of the Registrar through ACORN. Admission will require a final grade of 65% or higher in SOCA05H3 (or a final grade of 65% or higher in SOCA03Y3, or a CGPA of 65% or higher in SOCA01H3 and SOCA02H3). For students applying after completing 8.0 to 10.0 credits, admission will be on the basis of SOC courses completed, or on overall CGPA for those students who have not completed any SOC courses. Program Requirements"
SCMAJ2289,MAJOR PROGRAM IN STATISTICS (SCIENCE),4,Major,0,0,,,"Supervisor of Studies: M. Samarakoon Email: mahinda.samarakoon@utoronto.ca Recommended Writing Course Students are urged to take a course from the following list of courses by the end of their second year. ANTA01H3, ANTA02H3, CLAA06H3, (CTLA19H3), CTLA01H3, ENGA10H3, ENGA11H3, ENGB06H3, ENGB07H3, ENGB08H3, ENGB09H3, ENGB17H3, ENGB19H3, ENGB50H3, (ENGB51H3), GGRA02H3, GGRA03H3, GGRB05H3, (GGRB06H3), (HISA01H3), (HLTA01H3), (ACMA01H3), (HUMA01H3), (HUMA11H3), (HUMA17H3), (LGGA99H3), LINA01H3, PHLA10H3, PHLA11H3, WSTA01H3."
SCMAJ1126,MAJOR PROGRAM IN STUDIO ART (ARTS),2,Major,0,0,,,"Undergraduate Advisor (General): Email: studio-program-supervisor@utsc.utoronto.ca Enrolment Requirements Enrolment in the Major in Studio Art is limited. Students must apply to enter the program after completing four credits including VPSA62H3 and VPSA63H3. Decisions are made on program admissions only twice a year, in May and August, and are based on student requests submitted to the Office of the Registrar through ACORN. Admission is determined on the basis of a students overall GPA and grades in VPSA62H3 and VPSA63H3."
SCMAJ2150,MAJOR PROGRAM IN THEATRE AND PERFORMANCE (ARTS),2,Major,0,0,,,"ACM Program Manager email: acm-pm@utsc.utoronto.ca Program Requirements Students must complete 8.0 credits, of which 2.0 credits must be at the C- or D-level."
SCMAJ0571G,MAJOR PROGRAM IN WOMEN'S AND GENDER STUDIES (ARTS),8,Major,0,0,,,Undergraduate Coordinator: 416-287-7184 Email: hcs.advising.utsc@utoronto.ca Program Requirements Students must complete 7.0 credits as follows:
SCMINAFS,MINOR PROGRAM IN AFRICAN STUDIES (ARTS),6,Minor,0,0,,,"Program Coordinator Email: gds-advisor@utsc.utoronto.ca Program Requirements Students must complete 4.0 credits, 1.0 credit of which must be at the C- or D-level"
SCMINAGS,MINOR PROGRAM IN AGING AND SOCIETY (ARTS),7,Minor,0,0,4.5,,"The Minor in Aging and Society provides an interdisciplinary exploration of the aging process and individuals across the life course. This includes the study of social, mental, and physical changes in people as they age, the investigation of changes in society resulting from our aging population, and the application of this knowledge to policies and programs. This interdisciplinary Minor program is open to all undergraduate students regardless of major or disciplinary backgrounds. Students who choose to combine this Minor with a Major in Health Policy (BA) or Population Health (BSc) must take care to ensure that no more than 2.0 credits are used to satisfy the requirements of both this Minor and their Major. Additional course guidance for these students is provided below. Note: Relevant aging-related courses selected from other academic units and disciplines not listed below, may be approved for the Minor in Aging and Society on a case-by-case basis. Please contact DHS Undergraduate Advising to request approval for such courses prior to registering in them."
SCMIN1775,MINOR PROGRAM IN ANTHROPOLOGY (ARTS),1,Minor,0,0,4,,The Minor Program in Anthropology provides a course structure for students majoring or specializing in other disciplines who want some directed exposure to anthropological thought. Program Requirements The Program requires completion of 4.0 credits as follows:
SCMIN1078,MINOR PROGRAM IN APPLIED CLIMATOLOGY,13,Minor,0,0,,,"The Minor in Applied Climatology is designed to provide students with a unique educational experience that combines the fundamental understanding of climate change science, associated atmospheric processes and their impacts. The program will prepare students to observe and analyze past and present weather and climate change in the context of Applied Climatology. It will consider the relationship between changing climate conditions and countless climate/weather-sensitive industries through the lens of applied science to find solutions to the ongoing and future challenges faced by various sectors. As an area of study, climate change intersects with a wide range of disciplines, including computer science, mathematics, statistics, international development studies (science), geography, environmental science, biology, and health studies. This Minor is intended for students with an interest in climate change and preparing for a career that will demand a basic understanding of the physical and dynamical processes associated with climatic events and their impacts. Students must complete a total of 4.5 credits as follows:"
SCMIN2295,MINOR PROGRAM IN APPLIED STATISTICS (SCIENCE),4,Minor,0,1,,,"Supervisor of Studies: K. Butler Email: ken.butler@utoronto.ca The Minor in Applied Statistics may be combined with the Minor in Computer Science; however, it cannot be combined with any Specialist/Specialist Co-op, Major/Major Co-op or other Minor programs in Computer Science, Mathematics or Statistics. Enrolment in the Minor in Applied Statistics is limited."
SCMIN0616,MINOR PROGRAM IN ART HISTORY AND VISUAL CULTURE (ARTS),2,Minor,0,0,4,,Undergraduate Advisor Email: art-history-program-supervisor@utsc.utoronto.ca Program Requirements This program requires the completion of 4.0 credits in Art History and Visual Culture (VPH) as follows:
SCMIN1423,MINOR PROGRAM IN ASTRONOMY AND ASTROPHYSICS (SCIENCE),13,Minor,0,0,,,"For an updated list of Programs Supervisors, please visit the Physics & Astrophysics website. Students are advised that course substitutions will NOT be permitted without the advance approval of the Program Supervisor. Program Requirements"
SCMIN1030A,MINOR PROGRAM IN BIOLOGY (SCIENCE),3,Minor,0,0,,,Supervisor Email: biology-minor@utsc.utoronto.ca Enrolment in the Minor in Biology is unlimited. The Minor in Biology cannot be combined with any Major or Specialist programs offered by the Department of Biological Sciences. Program Requirements
SCMIN0241,MINOR PROGRAM IN BIOMEDICAL ETHICS (ARTS),12,Minor,0,0,,,Program Requirements This program requires students to complete a total of 4.0 credits: 1. 0.5 credit:
SCMIN1810,MINOR PROGRAM IN CITY STUDIES (ARTS),9,Minor,0,0,4,,"Students taking the Minor Program in City Studies should consider selecting most of their Applications program requirements from one area of focus: City Building, Community Development, or City Governance. Program Requirements The program requires the completion of 4.0 credits as follows:"
SCMIN2049,MINOR PROGRAM IN CLASSICAL STUDIES (ARTS),8,Minor,0,0,,,"Undergraduate Coordinator: (416) 287-7184 Email: hcs.advising.utsc@utoronto.ca For more information, visit the Department of Historical and Cultural Studies website. Classical Studies is a pluridisciplinary field dedicated to the study of the Ancient Greek and Roman worlds. It involves disciplines such as history, literature, religion, languages and linguistics, art history, archaeology, and philosophy and pertains to the study of wide areas of Europe, North Africa and Asia over several millennia (ca. 2000 B.C.-700 A.D.)."
SCMIN1688,MINOR PROGRAM IN COMPUTER SCIENCE (SCIENCE),4,Minor,0,0,,,Supervisor of Studies: R. Pancer (416-287-7679) Email: pancer@utsc.utoronto.ca Program Objectives This program provides a basic introduction to the tools and methodologies of computer science and equips students with the knowledge necessary to use the tools and methodologies as they relate to other subjects. The program is intended to complement programs in other disciplines.
SCMIN1620,MINOR PROGRAM IN CREATIVE WRITING (ARTS),5,Minor,0,1,,,"For more information, contact eng-ugc.utsc@utoronto.ca Program email: creative-writing@utsc.utoronto.ca Enrolment Requirements:"
SCMIN1017,MINOR PROGRAM IN CRITICAL MIGRATION STUDIES (ARTS),16,Minor,0,0,4,,"The Minor program in Critical Migration Studies offers students an understanding of the causes and consequences of international migration in sending, transit and receiving societies. Issues of race and ethnicity are highlighted along with the role of class, gender, sexuality, and citizenship in understanding how societies decide to include, exclude, and regulate different groups of migrants. The Minor is interdisciplinary in content and method. Through data-driven coursework and experiential learning, students will develop a suite of transferable skills in research design, quantitative and qualitative data analysis, written, oral, and digital communication. Program Restrictions Students in the Minor Program in Critical Migration Studies may count only 1.0 credit in Sociology courses towards completion of the program from the following list: [SOCA05H3, or [(SOCA01H3) and (SOCA02H3)] or (SOCA03Y3)], and SOCB05H3."
SCMIN1015,"MINOR PROGRAM IN CULTURE, CREATIVITY, AND CITIES (ARTS)",16,Minor,0,0,4,,"The Minor Program in Culture, Creativity and Cities offers students an in-depth understanding of the relationship between culture and cities. The Minor is interdisciplinary in content and method. Through experiential learning, students will develop a suite of transferable skills in written, oral, and digital communication. Program Requirements The program requires the completion of 4.0 credits as follows:"
SCMIN0133,MINOR PROGRAM IN ECONOMICS FOR MANAGEMENT STUDIES (ARTS),11,Minor,0,0,4,,"Academic Director: A. Mazaheri Email: ecoss@utsc.utoronto.ca This program is designed to give exposure to the subject matter in some areas of Economics to students who combine the Minor with other programs in order to graduate (see the Degrees section of this Calendar for information). Students need not have completed Grade 12 Calculus in order to enter this program. Enrolment in this Program is unlimited and does not require training in Calculus. However, students are cautioned that they are not guaranteed admission to most of the B-level, C-level, and D-level courses. Students in the Minor will be accommodated only after students in the Specialist and Major programs have been admitted to these courses; therefore, many courses may be unavailable. Students will note that some of the B- and C-level courses in Economics for Management Studies do require Calculus; therefore, students in the Minor Program must choose their courses carefully to ensure that they have the necessary prerequisites."
SCMIN0226,MINOR PROGRAM IN ENGLISH (ARTS),5,Minor,0,0,,,"For more information, contact eng-ugc.utsc@utoronto.ca Program Requirements 4.0 credits in ENG or FLM courses are required. They should be selected as follows:"
SCMIN0180,MINOR PROGRAM IN ENGLISH AND CHINESE TRANSLATION (ARTS),10,Minor,0,0,,,"This program is designed for students, fluent in both English and Chinese, who are interested in English and Chinese translation. It will equip students with the fundamental theoretical knowledge and practical skills required in this profession. Program Requirements Students are required to complete a total of 4.0 credits, of which 1.0 must be at the C-level or higher."
SCMIN1076,MINOR PROGRAM IN ENVIRONMENTAL SCIENCE (SCIENCE),13,Minor,0,0,,,"For an updated list of Programs Supervisors, please visit the Environmental Sciences website. The Minor Program is designed to provide insights into the basic principles of Environmental Science and its application to current environmental issues. It is intended for students with an interest in environmental issues but who do not have the necessary background for specialization in the field. In addition to science students, it is appropriate for students pursuing a degree in the social sciences or in management and economics. Program Requirements"
SCMIN1909,MINOR PROGRAM IN FILM STUDIES (ARTS),5,Minor,0,0,,,"For more information, contact eng-ugc.utsc@utoronto.ca Program Requirements 4.0 credits in ENG/FLM are required, of which 1.0 must be at the C- or D- level."
SCMIN0580,MINOR PROGRAM IN FOOD STUDIES (ARTS),13,Minor,0,0,,,"To contact the Undergraduate Advisor please email: fst.undergrad.advisor.utsc@utoronto.ca Program Requirements Students must complete at least 4.0 credits in Food Studies-focused courses, including the following:"
SCMIN2156,MINOR PROGRAM IN FRENCH (ARTS),10,Minor,0,0,,,"For curriculum inquiries, contact the department's Program Coordinator: dls-ua@utsc.utoronto.ca Program Requirements Students must complete 4.0 credits in total, of which 1.0 must be at the C-level or higher."
SCMIN1800,MINOR PROGRAM IN GEOGRAPHIC INFORMATION SCIENCE (GIS) (ARTS),9,Minor,0,0,,,"GIS is based on the integration of digital spatial data, mapping software, and spatial analysis tools. GIS has been a core method in Geographical research for almost two decades, but is also rapidly growing in importance outside Geography, in part because of the huge amounts of new spatial data being generated by ubiquitous sensors such as smartphones with GPS locators. A growing number of research areas and careers require knowledge of GIS and cartographic presentation skills. This minor program provides training in the theory and practical application of Geographic Information Science and systems for spatial analysis, spatial data management, and cartographic representation, and is an excellent option for students pursuing Human Geography, City Studies, Critical Development Studies, Historical and Cultural Studies, Sociology, Political Science, Anthropology, Environmental Studies and Environmental Science. Program Requirements"
SCMINGAS,MINOR PROGRAM IN GLOBAL ASIA STUDIES (ARTS),8,Minor,0,0,,,Undergraduate Coordinator: (416) 287-7184 Email: hcs.advising.utsc@utoronto.ca Program Requirements Students must complete 4.0 credits.
SCMIN0134,MINOR PROGRAM IN GLOBAL LEADERSHIP,9,Minor,0,0,,,"Now, more than ever, the world needs principled, inclusive, and empathetic global leaders. The Minor in Global Leadership will develop students’ collaborative global leadership skills and capacity to critique what is global leadership and how this concept is understood and challenged in diverse disciplines and contexts. Studying alongside students from all three campuses, with diverse backgrounds, students will critique leadership approaches applied across teams and networks, and prepare for a global workplace post-graduation. Through a combination of online and in-person learning, students partake in small group work, community engagement, and a global-partnered capstone project, and gain formal recognition for global leadership development. Enrolment in the Minor in Global Leadership is limited. Students will be able to apply to the program after completing 4.0 credits, and must have achieved an average GPA of 2.7 across their best 3.0 credits taken (e.g., 6 half-credit courses, or 4 half-credit and 1 full-credit course). In addition, students must submit an application as described at the Minor in Global Leadership website, and will need to include an unofficial transcript."
SCMIN2088,MINOR PROGRAM IN HEALTH HUMANITIES (ARTS),7,Minor,0,0,4,,"The Minor in Health Humanities provides an interdisciplinary exploration of human health and illness through the methods and materials of the creative arts, humanities, and critical social sciences. Students’ understanding of the humanistic, philosophical, historical, and artistic study of health—past and present—will be developed by attending closely to how literature, philosophy, history, and critical social sciences reveal the aesthetic, ethical, and multicultural contexts of health, disability, medical research and policy. This interdisciplinary Minor program is open to all undergraduates regardless of major or disciplinary backgrounds. See the following website for more information. Students will note that some courses at the B-, C-, and D-levels may have additional prerequisites; therefore, students selecting the Minor as a Subject POSt must choose their courses carefully to ensure that they have the necessary prerequisites. Permission to count courses indicated by an asterisk (*) towards the Minor in Health Humanities must be received from the Program Supervisor, and will be granted in cases where the student’s work demonstrably engages Health Humanities-related content and/or research methods. Note: Relevant Health Humanities-related courses selected from other academic units and disciplines, not already listed below, may be approved for the Minor in Health Humanities on a case-by-case basis. Please consult the Program Supervisor to determine the potential eligibility of relevant courses that are not listed below."
SCMIN0652,MINOR PROGRAM IN HISTORY (ARTS),8,Minor,0,0,,,"Undergraduate Coordinator: (416) 287-7184 Email: hcs.advising.utsc@utoronto.ca Program Requirements Students must complete 4.0 credits in History, of which at least 1.0 credit must be at the C- and/or D-level."
SCMIN1666H,MINOR PROGRAM IN HUMAN GEOGRAPHY (ARTS),9,Minor,0,0,4,,"The minor program is designed to give students a general introduction to Human Geography. Students are encouraged to select their B-, C-, and D -evel courses from one of the three areas of focus: Environmental, Urban or Social/Cultural Geography. Program Requirements This program requires the completion of 4.0 credits in Geography including:"
